Id,projet,hôte,organisme,statut
CH1857_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1858_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1859_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1861_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1862_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1863_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1865_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1866_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1868_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1869_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1871_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1873_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1874_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1876_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1877_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1878_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1879_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1881_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1882_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1883_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1884_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1885_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1886_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1887_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1889_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1890_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1891_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1892_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1893_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1894_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1895_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1896_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1897_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1898_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1899_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1900_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1901_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1902_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1903_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1904_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1905_30,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1906_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1907_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1908_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1910_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1911_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1913_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH1915_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Sélectionné
CH0328_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
CH0532_60,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
CH0595_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
CH0680_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
CH0689_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
CH0701_60,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
CH0860_60,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
CH0999_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
CH1016_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
CH1019_60,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
LA0005_60,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
LA0021_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
NP0037_70,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
NP0041_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
NP0052_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
NP0061_40,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
TH0014_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
TH0017_50,Assemblage souche terrasses,Rice,Magnaporthe oryzae,Non sélectionné
AG0004_40,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Rice,Magnaporthe oryzae,Sélectionné
CM0028_40,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Rice,Magnaporthe oryzae,Sélectionné
FR1067_70,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Lolium,Magnaporthe oryzae,Sélectionné
FR1069_40,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Lolium,Magnaporthe oryzae,Sélectionné
GN0001_60,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Mais,Magnaporthe oryzae,Sélectionné
GY0040_40,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Rice,Magnaporthe oryzae,Sélectionné
IR0012_70,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Mais,Magnaporthe oryzae,Sélectionné
IR0013_50,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Mais,Magnaporthe oryzae,Sélectionné
IR0015_70,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Mais,Magnaporthe oryzae,Sélectionné
IR0083_50,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Echinichola,Magnaporthe oryzae,Sélectionné
IR0084_70,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Echinichola,Magnaporthe oryzae,Sélectionné
IR0088_60,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Echinichola,Magnaporthe oryzae,Sélectionné
IR0095_70,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Mais,Magnaporthe oryzae,Sélectionné
IT0010_30,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Rice,Magnaporthe oryzae,Sélectionné
JP0091_50,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Setaria,Magnaporthe oryzae,Sélectionné
ML0060_40,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Rice,Magnaporthe oryzae,Sélectionné
TN0050_40,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Rice,Magnaporthe oryzae,Sélectionné
TR0025_40,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Rice,Magnaporthe oryzae,Sélectionné
US0064_40,<a href=assembleSoucheAdel.html target=_blank>Assemblage souche Adel</a>,Setaria,Magnaporthe oryzae,Sélectionné
BdBar,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
BdJes,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
BdMeh,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
B2,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
B71,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
Br7,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
BR0032,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
Br48,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
Br80,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
Br130,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
P3,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
PY0925,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
PY36-1,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
PY5003,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
PY5010,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
PY5033,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
PY6017,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
PY6045,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
PY86-1,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
T25,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
WHTQ,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
WBKY11,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Triticum,Magnaporthe oryzae,Sélectionné
P28,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Bromus,Magnaporthe oryzae,Sélectionné
P29,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Bromus,Magnaporthe oryzae,Sélectionné
CHRF,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
CHW,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
FH,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
GG11,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
HO,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
LpKY97,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
PgKY,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
PGPA,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
PL2-1,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
PL3-1,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Lolium,Magnaporthe oryzae,Sélectionné
Pg1213-22,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Festuca,Magnaporthe oryzae,Sélectionné
TF05-1,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Festuca,Magnaporthe oryzae,Sélectionné
IB33,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
FR13,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
GY11,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
IA1,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
IB49,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
IC17,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
IE1K,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
INA168,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
KEN53-33,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
ML33,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
P131,<a href=http://mbio.asm.org/content/9/1/e01219-17 target=_blank>Mbio</a>,Rice,Magnaporthe oryzae,Sélectionné
