n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
1811	1810	128	500	22533	75886	183877	108778	400585	38122422	INA168
9687	8322	1452	500	2881	7034	14175	9213	48311	35382215	TH3
2638	1751	168	500	24900	72801	155736	92073	323986	42715770	SSFL14-3
2390	2390	411	500	12332	27865	54286	35360	156141	38908646	B51
1910	1908	125	500	29866	88519	191376	113597	393777	39152295	GFSI1-7-2
2565	1676	213	500	25810	62930	106714	74864	330048	42727676	PY5003
2082	2082	121	500	30181	97014	206346	121507	476436	40783269	Br48
64347	31772	16027	500	431	814	1468	1033	20244	42113116	PY6025
2317	1332	88	500	47619	141061	264563	177399	665316	42951273	Br62
4091	2377	207	500	19640	63795	138369	84310	410669	47701690	Pm1
2436	2435	265	500	18727	47088	84748	54675	208622	40014084	Br130
115	115	5	500	964958	3962041	5497615	3658792	6783147	43381641	WBKY11
16	16	6	500	1126513	1625795	2515496	1664034	2523387	22834969	BR29
2901	1559	56	500	65409	204898	446141	267642	1076705	41269396	Bd8401
790	790	93	500	52207	120224	254330	159223	587934	40418923	CHW
1722	1225	79	500	27201	127734	297522	175827	621508	39603376	IE1K
1665	1102	47	500	68827	218204	612082	416479	1778806	43582558	P28
2438	2438	392	500	11401	28200	53859	35807	193775	37809379	IC17
3209	1282	71	500	63173	167541	346593	240988	1159164	43594932	PY86-1
740	397	47	500	116558	272947	499125	339042	1123756	42166263	PY36-1
2290	962	59	500	73335	204456	422346	264221	881373	42821371	PY5010
220	220	12	500	189768	813981	2923703	1242610	3113975	41206925	US0071
1760	1143	84	500	47118	123633	322088	222618	1431250	43035775	HO
833	833	87	500	51057	138921	264224	181118	906733	41631577	P3
1661	1656	137	500	29305	81416	168993	111316	501659	40306145	EI9411
10061	7842	1197	500	3215	8523	18487	11703	69768	37014292	KANSV1-4-1
3858	1967	141	500	32385	89888	180852	107275	384410	42094423	PgKY
1671	898	66	500	73917	184726	394005	240613	1082052	42459583	PY6045
1964	1964	60	500	23706	187276	556686	294033	1102691	46326187	GY11
1277	1277	169	500	28702	71208	138121	86490	347231	40269483	SSFL02
667	667	67	500	67266	181707	410105	235291	823909	43067233	B71
11994	9163	1552	500	2579	6778	13777	8918	62709	36922728	SA05-43
811	811	79	500	50715	141200	303736	232761	1483421	42551839	PL2-1
2257	2257	358	500	12545	30490	60886	39280	188050	37559418	IA1
3606	1374	102	500	36231	105252	238957	141208	505245	39910600	GRF52
1198	1198	92	500	27710	106863	272116	150459	708350	38872417	Y34
5572	3608	335	500	13178	35955	73278	46150	196461	42494433	LpKY97
1514	1513	78	500	49778	145603	297475	179272	585182	39376824	SV9623
1673	1673	250	500	21276	50217	95898	62254	228111	42256740	PH42
2076	2076	309	500	14303	37864	71670	46394	313329	38214410	IB49
3439	2134	120	500	21424	83862	205617	121123	627475	39494099	ML33
3970	3968	509	500	10005	24063	48178	30353	149066	41519068	Dig41
1215	1215	166	500	32441	74276	146622	90946	331884	41336942	Br7
2048	2048	173	500	25322	64080	138342	84848	371027	39609439	Z2-1
284	284	10	500	300936	1530397	2329954	1441269	3511474	42306689	98-06
1822	1822	159	500	21994	62822	144057	91184	459401	37955031	P131
711	711	20	500	158106	697115	2025323	924050	2495708	49819876	PH0014-rn
3403	1681	71	500	47734	155029	378242	229422	937392	42669742	PGPA
1346	1344	116	500	38777	100075	214057	133707	472660	41601338	EI9604
1803	1350	113	500	40829	105667	214011	136026	564916	41186569	G17
2051	2051	124	500	25027	101645	205760	123244	557675	43065003	FR13
2714	1390	64	500	44486	161911	417379	215817	620948	39290202	87-120
