id	projet	hôte	statut
BdBar	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
BdJes	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
BdMeh	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
B2	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
B71	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
Br7	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
BR0032	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
Br48	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
Br80	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
Br130	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
P3	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum durum	Sélectionné
PY0925	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
PY36-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
PY5003	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
PY5010	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
PY5033	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
PY6017	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
PY6045	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
PY86-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
T25	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
WHTQ	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
WBKY11	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum aestivum	Sélectionné
P28	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Bromus tectorum	Sélectionné
P29	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Bromus tectorum	Sélectionné
CHRF	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium perenne	Sélectionné
CHW	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium perenne	Sélectionné
FH	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium perenne	Sélectionné
GG11	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium perenne	Sélectionné
HO	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium perenne	Sélectionné
LpKY97	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium perenne	Sélectionné
PgKY	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium perenne	Sélectionné
PGPA	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium perenne	Sélectionné
PL2-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium multiflorum	Sélectionné
PL3-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium multiflorum	Sélectionné
Pg1213-22	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Festuca arundinaceum	Sélectionné
TF05-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Festuca arundinaceum	Sélectionné
IB33	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
FR13	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
GY11	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
IA1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
IB49	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
IC17	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
IE1K	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
INA168	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
KEN53-33	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
ML33	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
P131	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
Y34	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
P-2	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
PH0014-rn	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
TH3	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
87-120	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Oryza sativa	Sélectionné
TH0012-rn	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Hordeum vulgare	Sélectionné
TH0016	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Hordeum vulgare	Sélectionné
Arcadia	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria viridis	Sélectionné
US0071	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria spp.	Sélectionné
GrF52	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria viridis	Sélectionné
KANSV1-4-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria viridis	Sélectionné
SA05-43	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria viridis	Sélectionné
Sv9610	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria viridis	Sélectionné
Sv9623	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria viridis	Sélectionné
GFSI1-7-2	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria italica	Sélectionné
B51	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine indica	Sélectionné
BR62	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine indica	Sélectionné
CD156	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine indica	Sélectionné
EI9411	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine indica	Sélectionné
EI9064	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine indica	Sélectionné
G22	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine coracana	Sélectionné
Z2-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine coracana	Sélectionné
PH42	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine coracana	Sélectionné
SSFL02	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Stenotaphrum secundatum	Sélectionné
SSFL14-3	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Stenotaphrum secundatum	Sélectionné
G17	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eragrostis curvula	Sélectionné
Br58	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Avena sativa	Sélectionné
Bd8401	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Brachiaria distachya	Sélectionné
Bm88324	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Brachiaria mutica	Sélectionné
PM1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Pennisetum americanum	Sélectionné
BR29	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Digitaria sanguinalis	Sélectionné
Dig41	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Digitaria sanguinalis	Sélectionné
DsLIZ	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Digitaria sanguinalis	Sélectionné
VO107	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Digitaria sanguinalis	Sélectionné
