id	projet	hôte	statut
BdBar	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
BdJes	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
BdMeh	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
B2	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
B71	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
Br7	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
BR0032	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
Br48	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
Br80	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
Br130	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
P3	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
PY0925	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
PY36-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
PY5003	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
PY5010	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
PY5033	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
PY6017	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
PY6045	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
PY86-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
T25	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
WHTQ	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
WBKY11	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Triticum	Sélectionné
P28	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Bromus	Sélectionné
