"" "Num" "N50" "L50"
"CH0328_50" 7762 8013 1406
"CH0532_60" 8424 7311 1572
"CH0595_50" 7564 8187 1321
"CH0680_50" 9269 6337 1766
"CH0689_50" 8220 7501 1505
"CH0701_60" 9216 6746 1691
"CH0860_60" 10537 5600 2029
"CH0999_50" 6926 8675 1292
"CH1016_50" 6722 9061 1229
"CH1019_60" 7581 7877 1406
"CH1857_40" 1664 90899 111
"CH1858_30" 1555 94788 109
"CH1859_40" 1765 91752 110
"CH1861_40" 1680 80855 129
"CH1862_40" 1657 92177 113
"CH1863_40" 1683 89034 114
"CH1865_40" 1699 83314 128
"CH1866_40" 1715 84358 123
"CH1868_40" 1709 77687 136
"CH1869_40" 1400 109300 95
"CH1871_40" 1700 87008 117
"CH1873_30" 1605 89786 117
"CH1874_40" 1663 96373 106
"CH1876_40" 1685 84866 127
"CH1877_30" 1705 90530 120
"CH1878_50" 1797 88252 121
"CH1879_40" 1744 83376 127
"CH1881_40" 705 281344 37
"CH1882_40" 1676 101557 92
"CH1883_30" 1573 94716 112
"CH1884_30" 1543 93755 113
"CH1885_40" 1723 96335 102
"CH1886_40" 1757 80460 126
"CH1887_40" 1758 76884 133
"CH1889_40" 1447 102869 101
"CH1890_40" 1723 87102 121
"CH1891_40" 1698 87217 116
"CH1892_40" 1652 83047 125
"CH1893_40" 1667 110903 92
"CH1894_30" 1591 91879 112
"CH1895_30" 1666 82069 128
"CH1896_40" 1695 91773 115
"CH1897_30" 1559 90271 119
"CH1898_40" 1595 96499 107
"CH1899_40" 1604 98217 98
"CH1900_30" 1468 102840 103
"CH1901_30" 1536 96338 109
"CH1902_40" 1732 86377 119
"CH1903_40" 1766 77155 133
"CH1904_40" 1759 82067 132
"CH1905_30" 1776 75670 138
"CH1906_40" 1669 96752 109
"CH1907_50" 1752 91765 114
"CH1908_40" 1668 108531 93
"CH1910_40" 1675 90770 111
"CH1911_40" 1626 91804 112
"CH1913_40" 1713 83389 122
"CH1915_40" 1692 89467 116
"LA0005_60" 9375 6271 1802
"LA0021_50" 6849 8911 1281
"NP0037_70" 9959 5916 1942
"NP0041_40" 7137 9241 1215
"NP0052_50" 8446 7363 1538
"NP0061_40" 16727 2727 3934
"TH0014_50" 5773 11210 1012
"TH0017_50" 7222 8121 1380
