Id	Num	N50	L50
CH1886	2041	96408	103
CH0689	7115	8841	1222
CH1900	2100	91674	101
CH1885	2129	115547	85
CH1890	2044	98511	102
CH1910	1983	109360	92
CH1866	2585	66393	155
CH1891	1960	110195	88
CH1883	2029	101668	100
CH1904	2078	95511	104
CH1858	1837	126789	85
CH1905	3440	35681	285
CH1874	2005	124269	86
CH1016	5900	10900	1020
CH1862	1983	101560	94
CH1898	1992	107593	91
CH1868	2072	92620	110
CH1906	2004	98485	100
CH1902	1992	106691	88
LA0021	6063	10298	1062
NP0037	8886	6408	1688
CH1877	2153	108748	97
CH1871	1977	101646	88
CH0999	5866	10707	1020
TH0014	4613	14847	751
CH1863	1958	101970	96
CH1896	1952	109686	90
CH1894	1917	96062	107
CH1876	1936	96633	99
CH0680	8686	6702	1635
CH1884	1897	108302	89
CH0860	9895	5665	1935
CH1882	2076	103003	88
LA0005	9025	6149	1798
CH1879	2009	100813	102
CH1903	2071	99019	101
CH1895	1995	104160	95
CH1899	2000	109426	82
CH1915	2141	88906	103
CH1019	6889	8738	1256
CH1908	2031	114840	83
CH1873	1981	106331	97
NP0061	13364	2729	3118
CH1892	1917	93444	105
CH1911	2123	88873	105
CH1913	2107	102378	100
CH0328	6772	9516	1162
CH1865	2041	96860	95
CH1893	2034	139077	79
NP0041	6325	11425	959
CH0701	8537	7150	1528
CH1897	1889	109528	91
CH0532	7744	7935	1371
CH1861	2056	105298	97
CH1889	1771	115117	82
CH1859	2094	103817	99
NP0052	7270	8836	1269
CH1887	2028	100815	99
CH1878	1910	100816	98
CH1901	1970	109816	96
CH1881	1017	202756	55
CH1907	2009	108345	94
TH0017	6225	9810	1116
CH1869	1593	117630	86
CH0595	6607	10291	1066
CH1857	2042	100881	104
